node,lineage
NODE_0000483,B.1.1.241
NODE_0000484,B.1.1.241
NODE_0000485,B.1.1.241.1
NODE_0000486,B.1.1.241.1
NODE_0000487,B.1.1
NODE_0000488,B.1.1.222
NODE_0000489,B.1.1.517
NODE_0000490,B.1.1
NODE_0000491,B.1.1.519
NODE_0000492,B.1.1.519
NODE_0000493,B.1.1
NODE_0000494,B.1.1.216
NODE_0000495,B.1.1.216
NODE_0000496,B.1.1.416
NODE_0000497,B.1.1.416
NODE_0000498,B.1.1
NODE_0000499,B.1.1.25
NODE_0000500,B.1.1.315.2
NODE_0000501,B.1.1.315.2
NODE_0000502,B.1.1.25
NODE_0000503,B.1.1.25
NODE_0000504,B.1.1.25
NODE_0000505,B.1.1.25.2
NODE_0000506,B.1.1.25.2
NODE_0000507,B.1.1.25.2
NODE_0000508,B.1.1.25.2
NODE_0000509,B.1.1.25.2
NODE_0000510,B.1.1
NODE_0000511,B.1.1.214
NODE_0000512,B.1.1.306
NODE_0000513,B.1.1.47
NODE_0000514,B.1.1
NODE_0000515,B.1.1.433
NODE_0000516,B.1.1.482
NODE_0000517,B.1.1.482.1
NODE_0000518,B.1.1.482.1
NODE_0000519,B.1.1
NODE_0000520,B.1.1.318
NODE_0000521,B.1.1.318
NODE_0000522,B.1.1.318
NODE_0000523,B.1.1.318
NODE_0000524,B.1.1.318
NODE_0000525,B.1.1.318
NODE_0000526,B.1.1.318.3
NODE_0000527,B.1.1.318.2
NODE_0000528,B.1.1.318.2
NODE_0000529,B.1.1.318.2
NODE_0000530,B.1.1.318.2
NODE_0000531,B.1.1.318.2.1
NODE_0000532,B.1.1.318.2.1
NODE_0000533,B.1.1.318.2.1
NODE_0000534,B.1.1.318.2.1
NODE_0000535,
NODE_0000536,B.1.1.7
NODE_0000537,B.1.1.7
NODE_0000538,B.1.1.7
NODE_0000539,B.1.1.7
NODE_0000540,B.1.1.7
NODE_0000541,B.1.1.7
NODE_0000542,B.1.1.7
NODE_0000543,B.1.1.7
NODE_0000544,B.1.1.7
NODE_0000545,B.1.1.7
NODE_0000546,B.1.1.7.4
NODE_0000547,B.1.1.7
NODE_0000548,B.1.1.7.3
NODE_0000549,B.1.1.7.3
NODE_0000550,B.1.1.7.3
NODE_0000551,B.1.1.7.3
NODE_0000552,B.1.1.7.3
NODE_0000553,B.1.1.7.3
NODE_0000554,B.1.1.7.3
NODE_0000555,B.1.1.7.3
NODE_0000556,B.1.1.7.3
NODE_0000557,B.1.1.7.3
NODE_0000558,B.1.1.7.3
NODE_0000559,B.1.1.7.3
NODE_0000560,B.1.1.7.3
NODE_0000561,B.1.1.7.3
NODE_0000562,B.1.1.7.3
NODE_0000563,B.1.1.7.3
NODE_0000564,B.1.1.28
NODE_0000565,B.1.1.28
NODE_0000566,B.1.1.28
NODE_0000567,B.1.1.28.2
NODE_0000568,B.1.1.28.3
NODE_0000569,B.1.1.28.3
NODE_0000570,B.1.1.28.3
NODE_0000571,B.1.1.28.3
NODE_0000572,B.1.1.28.3
NODE_0000573,B.1.1.28.3
NODE_0000574,B.1.1.28.3
NODE_0000575,B.1.1.28.3
NODE_0000576,B.1.1.28.3
NODE_0000577,B.1.1.28.3
NODE_0000578,B.1.1.28.3
NODE_0000579,B.1.1.28
NODE_0000580,B.1.1.28
NODE_0000581,B.1.1.28.1
NODE_0000582,B.1.1.28.1
NODE_0000583,B.1.1.28.1
NODE_0000584,B.1.1.28.1
NODE_0000585,B.1.1.28.1
NODE_0000586,B.1.1.28.1
NODE_0000587,B.1.1.28.1
NODE_0000588,B.1.1.28.1.17
NODE_0000589,B.1.1.28.1
NODE_0000590,B.1.1.28.1.2
NODE_0000591,B.1.1.28.1.7
NODE_0000592,B.1.1.28.1.10
NODE_0000593,B.1.1.28.1.10
NODE_0000594,B.1.1.28.1.10
NODE_0000595,B.1.1.28.1.10
NODE_0000596,B.1.1.28.1.10
NODE_0000597,B.1.1.28.1.10
NODE_0000598,B.1.1.28.1.10
NODE_0000599,B.1.1.28.1.10
NODE_0000600,B.1.1.28.1.10
NODE_0000601,B.1.1.28.1.10
NODE_0000602,B.1.1.28.1.10
NODE_0000603,B.1.1.28.1.10
NODE_0000604,B.1.1.28.1.10
NODE_0000605,B.1.1.28.1.10
NODE_0000606,B.1.1.28.1.10
NODE_0000607,B.1.1.28.1.10
NODE_0000608,B.1.1
NODE_0000609,B.1.1.369
NODE_0000610,B.1.1
NODE_0000611,B.1.1.1
NODE_0000612,B.1.1.1.23
NODE_0000613,B.1.1.1.23
NODE_0000614,B.1.1.1.16
NODE_0000615,B.1.1.1.16
NODE_0000616,B.1.1.1
NODE_0000617,B.1.1.1
NODE_0000618,B.1.1.1.35
NODE_0000619,B.1.1.1.35
NODE_0000620,B.1.1.1.35
NODE_0000621,B.1.1.1
NODE_0000622,B.1.1.1
NODE_0000623,B.1.1.1.31
NODE_0000624,B.1.1.1.30
NODE_0000625,B.1.1.1.30
NODE_0000626,B.1.1.1.36
NODE_0000627,B.1.1.1.36
NODE_0000628,B.1.1.1.36
NODE_0000629,B.1.1.1.36
NODE_0000630,B.1.1.1.36.3
NODE_0000631,B.1.1.1.36.3
NODE_0000632,B.1.1.1.36.3.1
NODE_0000633,B.1.1.1.36.3.1
NODE_0000634,B.1.1.1.36.3
NODE_0000635,B.1.1.1
NODE_0000636,B.1.1.1.38
NODE_0000637,B.1.1.1
NODE_0000638,B.1.1.1.1.2
NODE_0000639,B.1.1.1.1.2
NODE_0000640,B.1.1.1.37
NODE_0000641,B.1.1.1.37
NODE_0000642,B.1.1.1.37
NODE_0000643,B.1.1.1.37
NODE_0000644,B.1.1.1.37
NODE_0000645,B.1.1.1.37
NODE_0000646,B.1.1.1.37
NODE_0000647,B.1.1.1.37
NODE_0000648,B.1.1.1.37
NODE_0000649,B.1.1.1.37
NODE_0000650,B.1.1.1.37
NODE_0000651,B.1.1.1.37
NODE_0000652,B.1.1.1.37.1
NODE_0000653,B.1.1.1.37.1
NODE_0000654,B.1.1.1.37.1
NODE_0000655,B.1.1.1.37.1
NODE_0000656,B.1.1.1.37.1
NODE_0000657,B.1.1.1.37.1
NODE_0000658,B.1.1.1.37.1
NODE_0000659,B.1.617
NODE_0000660,B.1.617.1
NODE_0000661,B.1.617.1
NODE_0000662,B.1.617.1
NODE_0000663,B.1.617.1
NODE_0000664,B.1.617.1
NODE_0000665,B.1.617.1
NODE_0000666,B.1.617.1
NODE_0000667,B.1.617.1
NODE_0000668,B.1.617.1
